,Fate/Apocrypha,,AC v1,GSK_kun,Yes | No,Use Netflix subs track,
,Fate/Extra: Last Encore,,Raws-Maji+LostYears subs,LostYears (WEB), | Yes,,
,"Fate/Grand Order: Absolute Demonic Front
- Babylonia","Fate/Grand Order: Zettai Majuu 
Sensen Babylonia",μtw-Kaleido,Koitern,No,Light pls,
,Fate/Grand Order: First Order,,GetNasu'd,,Yes,Beatrice+Kametsu,https://slow.pics/c/SPBMn5cE
,Fate/Grand Order: Moonlight/Lostroom,,Arid,,No,,
,Fate/GUDAGUDA Order,,Kaleido,,No,,
,Fate/kaleid liner Prisma☆Illya ,,"S1: Arid
Rest: SOLA",,Yes,"Arid is frost+Kaleido
SOLA is on nandato and XDCC",
,Fate/Prototype,,CBT,,No,CBT is Yousei+UTW,
,Fate/stay night (2006),,Moby JJ,,Yes,,
,Fate/stay night: Unlimited Blade Works,,Arid,,Yes,Arid is Beatrice v2+Kametsu (modified UTW),
,Fate/Zero,,"SCY
OVA: Mysteria",Mysteria,Yes,"Mysteria is Beatrice+SCY
Beatrice has better AA but worse grain/texture retention","https://slow.pics/c/2H57poO5
https://slow.pics/c/wuCfu4yX"
,Fire Force,Enen no Shouboutai,S1: LostYears (WEB),,Yes,BDs look comparable to the wakanim stream so grab LY,
,FLCL,"Fooly Cooly, Furi Kuri",Cuck'd,SRLS,Yes,SRLS uses yurasyk encode,
,FLCL Alternative/Progressive,,Kawaiika-Raws,,No,,
,Flip Flappers,,zangafan,,Yes,CTR's colors are off,https://slow.pics/c/c3meD2Tn
,Flowers of Evil,Aku no Hana,FFF,,No ,,
,Flying Witch,,Pookie,,Yes,Pookie is sergey+DDY/SallySubs,https://slow.pics/c/61HZf4OW
,Food Wars!,Shokugeki no Souma,"S1: Datte13
S2: MK
S3P1: XuN
S3P2: Quarantine
S4: GHS
S5:(?)+BluE
OVA: VCB+Clara","S5: BluE (WEB)
OVA: Clara",Mixed,"VCB rips retain more detail than Akatomba but at the cost of much more horrible 
banding. See the tradeoff and mux with them if you prefer that.
Quarantine is on AB","S1: https://slow.pics/c/NBxLkceD
S3: https://slow.pics/c/8JnNldFQ"
,Forest of Piano,Piano no Mori,PAS (WEB),,No,,
,Fractale,,,Drag,Yes,Drag is HQR+ANE. (Needs peeping),https://slow.pics/c/ieErMMON
,Frame Arms Girl,,Beatrice+(?) subs,,,,
,Free! ,,S3: Commie,,No,,
,Freezing,,"S1: AC
S2: Lulu",S2:AC,Yes,AC (S1) is Yousei+Hiryuu. Lulu is sergey+Hiryuu.,
,From the New World,Shinsekai Yori,ShadyCrab,,Yes,Kagura+UTW. SCY release eventually:tm:,
,Fruits Basket (Reboot),,"S1: Arid
S2: sam","S1: GSK_kun
S2: LostYears (WEB)","Yes | No
No | Yes","Arid is GSK_kun with dual audio
sam is own encode+LY. ",
